,velocity,distance
0,0.0,0.0
1,0.0,0.0
2,9.0,9.0
3,17.0,26.0
4,25.0,51.0
5,33.0,84.0
6,33.0,117.0
7,34.0,151.0
8,43.0,194.0
9,46.0,240.0
10,46.0,286.0
11,47.0,333.0
12,56.0,389.0
13,57.0,446.0
14,66.0,512.0
15,66.0,578.0
16,71.0,649.0
17,77.0,726.0
18,79.0,805.0
19,86.0,891.0
20,89.0,980.0
21,98.0,1078.0
22,100.0,1178.0
23,100.0,1278.0
24,108.0,1386.0
25,113.0,1499.0
26,120.0,1619.0
27,121.0,1740.0
28,130.0,1870.0
29,131.0,2001.0
30,140.0,2141.0
31,149.0,2290.0
32,151.0,2441.0
33,152.0,2593.0
34,159.0,2752.0
35,166.0,2918.0
36,171.0,3089.0
37,176.0,3265.0
38,178.0,3443.0
39,180.0,3623.0
40,189.0,3812.0
41,198.0,4010.0
42,198.0,4208.0
43,206.0,4414.0
44,207.0,4621.0
45,213.0,4834.0
46,213.0,5047.0
47,218.0,5265.0
48,227.0,5492.0
49,229.0,5721.0
50,236.0,5957.0
51,240.0,6197.0
52,242.0,6439.0
53,246.0,6685.0
54,251.0,6936.0
55,254.0,7190.0
56,254.0,7444.0
57,254.0,7698.0
58,256.0,7954.0
59,258.0,8212.0
60,265.0,8477.0
61,268.0,8745.0
62,274.0,9019.0
63,281.0,9300.0
64,287.0,9587.0
65,296.0,9883.0
66,297.0,10180.0
67,299.0,10479.0
68,304.0,10783.0
69,309.0,11092.0
70,310.0,11402.0
71,317.0,11719.0
72,320.0,12039.0
73,320.0,12359.0
74,320.0,12679.0
75,320.0,12999.0
76,324.0,13323.0
77,329.0,13652.0
78,337.0,13989.0
79,341.0,14330.0
80,345.0,14675.0
81,350.0,15025.0
82,352.0,15377.0
83,358.0,15735.0
84,359.0,16094.0
85,361.0,16455.0
86,363.0,16818.0
87,370.0,17188.0
88,372.0,17560.0
89,379.0,17939.0
90,384.0,18323.0
91,388.0,18711.0
92,395.0,19106.0
93,395.0,19501.0
94,404.0,19905.0
95,409.0,20314.0
96,417.0,20731.0
97,420.0,21151.0
98,426.0,21577.0
99,430.0,22007.0
