time,data
0,0.0
1,0.0
2,2.0
3,7.0
4,18.0
5,37.0
6,61.0
7,86.0
8,114.0
9,148.0
10,184.0
11,227.0
12,272.0
13,322.0
14,377.0
15,436.0
16,499.0
17,564.0
18,636.0
19,714.0
20,800.0
21,894.0
22,989.0
23,1088.0
24,1190.0
25,1299.0
26,1413.0
27,1527.0
28,1643.0
29,1759.0
30,1877.0
31,2000.0
32,2124.0
33,2251.0
34,2381.0
35,2519.0
36,2659.0
37,2800.0
38,2942.0
39,3091.0
40,3243.0
41,3396.0
42,3551.0
43,3712.0
44,3874.0
45,4042.0
46,4213.0
47,4392.0
48,4579.0
49,4768.0
50,4960.0
51,5160.0
52,5367.0
53,5574.0
54,5785.0
55,6002.0
56,6227.0
57,6455.0
58,6690.0
59,6925.0
60,7165.0
61,7409.0
62,7660.0
63,7918.0
64,8185.0
65,8457.0
66,8732.0
67,9013.0
68,9299.0
69,9585.0
70,9874.0
71,10167.0
72,10462.0
73,10761.0
74,11064.0
75,11375.0
76,11687.0
77,12007.0
78,12330.0
79,12660.0
80,12991.0
81,13327.0
82,13669.0
83,14015.0
84,14362.0
85,14718.0
86,15080.0
87,15445.0
88,15811.0
89,16179.0
90,16548.0
91,16918.0
92,17290.0
93,17666.0
94,18048.0
95,18430.0
96,18817.0
97,19210.0
98,19604.0
99,20004.0
